track_name,artist_name,album_name,album_type,release_year,explicit,played_at,duration_mins,song_genre
HEAVENLY JUMPSTYLE - Ultra Slowed,TWXNY,HEAVENLY JUMPSTYLE (Versions),single,2025,False,2026-05-06 19:34:13.790,2.7,Baile Funk
Beat It,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,1995,False,2026-05-06 19:31:13.608,4.3,Pop
Клетка,Molchat Doma,Этажи,album,2018,False,2026-05-06 19:27:13.809,4.72,Alternative
secret base ～君がくれたもの～,ZONE,E 〜Complete A side Singles〜,compilation,2005,False,2026-05-06 19:22:13.761,4.92,Anime
NEVER REALLY MATTERED,Akon,NEVER REALLY MATTERED,single,2025,False,2026-05-06 19:17:14.063,3.33,R&B/Soul
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-06 19:14:13.577,3.1,R&B/Soul
Children - Dream Version,Robert Miles,Dreamland,album,1996,False,2026-05-06 19:07:43.985,7.1,Pop
Turn The Lights Off,Kato,Discolized,album,2010,False,2026-05-06 19:00:13.677,2.96,Dance
New Type of Hero(《凸變英雄X》動畫原聲帶),Chatterbox,New Type of Hero(《凸變英雄X》動畫原聲帶),single,2022,False,2026-05-06 18:54:14.743,3.27,Anime
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-05 18:15:53.130,3.1,R&B/Soul
Turn The Lights Off,Kato,Discolized,album,2010,False,2026-05-05 18:09:25.079,2.96,Dance
Children,Robert Miles,Children (Dance Vault Mixes),single,1996,False,2026-05-05 17:38:08.716,4.05,Dance
METAMORPHOSIS,INTERWORLD,METAMORPHOSIS,single,2021,True,2026-05-04 14:43:55.513,2.38,Electronic
plane,yung lithium,lil junkie,single,2025,True,2026-05-04 14:35:51.016,1.8,Unknown
Angel Numbers / Ten Toes,Chris Brown,11:11,album,2023,True,2026-05-02 18:52:08.794,5.11,R&B/Soul
KINGSBLOOD,Kala,KINGSBLOOD,single,2025,False,2026-05-02 18:49:20.814,3.53,Anime
"Mystical Adventure (From ""Dragon Ball"")",CyYu,"Mystical Adventure (From ""Dragon Ball"")",single,2017,False,2026-05-02 18:33:06.930,1.84,Unknown
Free,Rumi,KPop Demon Hunters (Soundtrack from the Netflix Film),album,2025,False,2026-05-02 18:31:21.415,3.13,K-Pop
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-02 18:27:36.899,3.1,R&B/Soul
Luv,Tory Lanez,Reggae Gold 2017,compilation,2017,True,2026-05-02 17:08:58.349,3.75,R&B/Soul
aquatic ambience,Scizzie,aquatic ambience,single,2022,False,2026-05-02 02:41:19.622,2.06,Hip-Hop
